displayName,description,subgraphID,signal,codeRepository,image,website
Uniswap V2,historical data and analytics for Uniswap V2,QmWTrJJ9W8h3JE19FhCzzPYsJ2tgXZCdUqnbyuo64ToTBN,22149244,https://github.com/uniswap/uniswap-v2-subgraph,https://storage.googleapis.com/subgraph-images/1591820950702256x256_App_Icon_Gradient.png,
Ethereum Blocks,Indexing all Ethereum Block data,QmNtTKStPBm3bnghvyKLNY5B8etER8CG9ei9m7APT1kdx6,22149244,https://github.com/blocklytics/ethereum-blocks,https://storage.googleapis.com/subgraph-images/1579070275738ethereum_logo_square.png,
LINKUSD,Subgraph for LINKUSD,Qmbpwh32waJ21xgYLBw9ZV9v5ikehANXqQTaxErii7ypbT,41529833,,https://storage.googleapis.com/subgraph-images/default/sg-3.png,
Synthetix Rates,Rate updates from Synthetix,QmPYVDfyyQ72dwr4HPG8JC1SZGvLhewMTqfDwByH6M1dPa,27686555,,https://storage.googleapis.com/subgraph-images/1569418199094Pasted_Image_9_25_19__9_29_AM.jpg,
SakeSwap Subgraph V2,Analytics for SakeSwap,QmcAGrSedyweWQhKCbdMUxbX2ddMiSJwWRRc3NcDtoXnDE,11074622,https://github.com/therealsakeswap/sakeswap-subgraph-univ2,https://storage.googleapis.com/subgraph-images/default/sg-8.png,
Balancer,Generalized AMM and portfolio manager,QmbS7vmAWXJqsJEnAbvNSBYQXxCUmZWHFQygHPbyb3vy3N,41529833,,https://storage.googleapis.com/subgraph-images/1582850720988pebbles-padcircle-white.256w.png,
Gringotts,Gringotts Wizarding Bank,QmPmPrNHGkWZLMuXiNf59odjxSAwMBciMNNenf9MSqyBfy,3599252,,https://storage.googleapis.com/subgraph-images/1601451095309gringotts.jpg,
SushiSwap Subgraph Fork,A fork of Uniswap subgraph to test things out,QmPSzSpAHozDWgqsa9FMKk2qd1xrhEZJfhGxskgz4b8HoQ,276865,,https://storage.googleapis.com/subgraph-images/default/sg-3.png,
Token Sets,Crypto management made easy,QmZ6noN8Ek4dPpyvmSv4AdAtefVWtUsopBc8hFKFiWo1Uw,6921638,https://github.com/Destiner/TokenSets-subgraph,https://storage.googleapis.com/subgraph-images/1569163566860TokenSets.png,
Mstable,Stable coin protocol,QmWNP1jqMZm61G8FbsLzi9Mnii5qRXbkadBxXVHZPqzKri,16611933,,,
Mintbase,All stores and those stores tokens,QmW5UcMhXwXrMqRpTdT3MKB7HYDxbsp5oe9Atkuh4sgAA5,6921638,https://github.com/Mintbase/graph-mint-factory,https://storage.googleapis.com/subgraph-images/1573754371189logo-solo-white.png,
Bancor V2,Bancor v2,QmbykNCTDoRx5NMgJgoXY7YARoV3xTRNfs4cWifsc3fm7u,276865,,https://storage.googleapis.com/subgraph-images/default/sg-1.png,
Uniswap V2,Uniswap V2 - lutter,QmXKwSEMirgWVn41nRzkT3hpUBw29cp619Gx58XW6mPhZP,2768655,,,
Livepeer,A protocol for affordable and reliable video encoding.,QmaEsTQhqGfZMjHYpNxmcxU3pD4GbAU6u5F8AqePeQumYv,4152983,https://github.com/livepeer/livepeerjs/tree/master/packages/subgraph,https://storage.googleapis.com/subgraph-images/1565207456060livepeer.png,
NIFTEX Uniswap Graph,NIFTEX Uniswap Pools Data,QmdoMvZbk2YDyDVQjhS73RfqymffMxz4EW1uS9RhEEfqog,2768655,,https://storage.googleapis.com/subgraph-images/default/sg-5.png,
RenVM,RenVM graph explorer,QmP595e8r4VRPcKG5bfHUSN4ybbYnZkjgYkSHjfDw5YshY,2768655,https://github.com/renproject/renvm-subgraph,https://storage.googleapis.com/subgraph-images/1590115100825icon-white.png,
Miniswap,MiniSwap provides a decentralised platform.,QmZ4fvpTgWCL3oQbf7uzy9bszotLTxv6pGbYfGk7VopTst,2768655,,https://storage.googleapis.com/subgraph-images/1601020924950MIniswap600.png,
Flamingo NFT,Flamingo NFT (mainnet),Qma3LJSzh4q5RGS5inHMLiGCBVTQ16PnGeRJscCDcQsWkH,2768655,,https://storage.googleapis.com/subgraph-images/default/sg-7.png,
Uniswap,Uniswap is a decentralized protocol for automated token exchange on Ethereum.,QmRuorV4Ck1sVdpfpAAwfYXnf3cfSkbDwZvvzWud9SH8Dg,1384327,,https://storage.googleapis.com/subgraph-images/1548114951622uniswap.png,
Try Second Graph,mooniswap 2,QmQgmUrUKBkQfsKdNNnfcUpUxRvyrX27W4knuhn4q6GfpH,1384327,,https://storage.googleapis.com/subgraph-images/default/sg-2.png,
Oneinchswapped3,Stats,QmcYkKNVBW67p9UWFMEcETWjgKqjnJ1nupPmJQoaLPW7CU,1384327,,https://storage.googleapis.com/subgraph-images/default/sg-10.png,
Cream Swap V2,"Crypto Rules Everything Around Me C.R.E.A.M.",QmcPSRpF28QSWpgAgNPFVyiGYd75L5aSrKGLXhmaFW5bSK,1384327,,https://storage.googleapis.com/subgraph-images/1602679008376CREAM_transparent_Secondary_straight_color.png,
Easy Staking,EasyStaking,QmfVC5EMxkkyh6tLt94o8Kh239WVNppDP6jLJncviCSK4k,1384327,,https://storage.googleapis.com/subgraph-images/default/sg-4.png,
Try Graph,test,Qmd3yXPzi3cRBW8assGLHDi65s6EZagparh55fZ2FGP7Tf,1384327,,https://storage.googleapis.com/subgraph-images/default/sg-8.png,
Sablier,Mainnet subgraph,QmamoWRdcCzkgYDXLFzxdoejzCJMvJYfdNwQorWU4B4Rtg,1938058,,https://storage.googleapis.com/subgraph-images/1573584068471icon_spaced_gradient_2.png,
Keeper Pool Mainnet,Keeper Pool Related Data in Mainnet Network,QmX28DCsTkd9TWLssR1YRwBr6weQ61t5VTnHimff1zZMCT,1107462,,https://storage.googleapis.com/subgraph-images/default/sg-5.png,
Prod,2nd Layer Protocol Embedding Smart Contracts into HTTP Links,QmQhuSbS2J5DzbHVFNLKYqFJDS9hhLxyWys6uGZDamhPeD,1661193,https://github.com/2key/2key-subgraphs,https://storage.googleapis.com/subgraph-images/15644936648972key-white-bg.gif,
exchange,exchange,QmWpFQJWVBkzTfabZL5DxnAvdhjP5FjbBW87jP2XcjyuUb,1107462,,https://storage.googleapis.com/subgraph-images/default/sg-3.png,
